LE_2015,Medical_treatment_rate_hospitalization_heart_dz_2017,Natural_environment_annual_avg_temperature,Admin_base_Financial_strength_index,HM_Num_of_public_health_nurses_per_100k_pop,Household_Savings,pop_Household_Ratio_of_elderly_single_person_households,Treatment_rate_Hospitalization_Cerebrovascular_dz_2017,Residence_sewerage_ratio,Malignant_neoplasm_intestine_mortality_rate_2015,Use_blood_pressure_binary_2014,Smoking_over_100_binary_2014,Self_development_PC_etc,pop_Double_income_household_ratio_2020,Usual_barrier_free_rate_2018,Tourism_Rate,Read_rate_2016,Volunteer_for_Children,Self_development_art_culture,Self_development_languages_other_than_Eng
80.28,97,9.5,0.446,59.3,11918,13.1,168,90.5,NA,NA,NA,NA,21.14,42.2,NA,NA,NA,NA,NA
78.67,43,11,0.346,54.2,8624,12.09,124,58.8,19.4,34710,53445,12.3,27.58,37.4,53.2,32.2,7.2,8.7,2.7
79.86,49,11,0.362,60,12689,10.91,132,58.9,NA,NA,NA,NA,29.84,43.9,NA,NA,NA,NA,NA
80.99,41,13.6,0.628,47.5,12154,9.06,91,80.2,NA,NA,NA,NA,24.61,46.5,NA,NA,NA,NA,NA
79.51,49,12.3,0.315,59.6,10419,12.34,119,63.5,NA,NA,NA,NA,30.18,42.8,NA,NA,NA,NA,NA
80.52,51,12.6,0.361,57.2,12640,9.42,108,75.6,NA,NA,NA,NA,35.77,45.9,NA,NA,NA,NA,NA
80.12,53,14.2,0.545,56.9,12491,10.63,100,52.7,NA,NA,NA,NA,28.62,43.2,NA,NA,NA,NA,NA
80.28,37,15.3,0.645,40.1,15211,8.92,92,61.3,NA,NA,NA,NA,28.12,39.2,NA,NA,NA,NA,NA
80.1,44,15.2,0.651,49,15311,9.16,105,65.2,NA,NA,NA,NA,29.03,41.1,NA,NA,NA,NA,NA
80.61,45,16.1,0.649,51.2,12811,10.35,99,53.2,NA,NA,NA,NA,29.48,42.1,NA,NA,NA,NA,NA
80.82,33,16.4,0.766,30.3,16489,9.29,96,80.3,NA,NA,NA,NA,25.45,39,NA,NA,NA,NA,NA
80.96,36,17.2,0.779,33.3,17479,9.91,86,73.8,NA,NA,NA,NA,23.86,38.8,NA,NA,NA,NA,NA
81.07,33,16.8,1.162,28.4,19669,11.05,85,99.9,NA,NA,NA,NA,17.76,42.9,NA,NA,NA,NA,NA
81.32,34,17.1,0.902,23.5,19035,10.06,88,96.7,NA,NA,NA,NA,22.05,41.9,NA,NA,NA,NA,NA
80.69,49,14.3,0.461,54.3,14208,9.73,123,73.6,NA,NA,NA,NA,32.85,46.8,NA,NA,NA,NA,NA
80.61,73,15,0.478,59.1,17170,10.22,202,84.5,NA,NA,NA,NA,34.39,47.5,NA,NA,NA,NA,NA
81.04,86,15.5,0.502,49.7,16152,10.12,174,82.9,NA,NA,NA,NA,31.63,44.6,NA,NA,NA,NA,NA
81.27,73,15.3,0.407,61.6,18562,9.74,130,78.4,NA,NA,NA,NA,36.1,45.1,NA,NA,NA,NA,NA
80.85,52,16,0.414,76.5,13074,11.31,128,65.7,NA,NA,NA,NA,30.2,40.4,NA,NA,NA,NA,NA
81.75,46,13,0.515,77.2,15486,10.45,118,83.1,NA,NA,NA,NA,32.82,48.7,NA,NA,NA,NA,NA
81,50,16.9,0.544,49.5,16864,9.73,90,74.8,NA,NA,NA,NA,32.64,44.5,NA,NA,NA,NA,NA
80.95,41,17.7,0.728,47,15552,9.76,117,62.6,NA,NA,NA,NA,29.99,45.4,NA,NA,NA,NA,NA
81.1,33,16.9,0.926,36.2,18551,9.18,84,77.2,NA,NA,NA,NA,26.53,43.5,NA,NA,NA,NA,NA
80.86,42,16.9,0.594,40.9,17209,10.79,96,53,NA,NA,NA,NA,28.83,41.9,NA,NA,NA,NA,NA
81.78,48,15.7,0.564,50.6,16607,8.26,93,89.3,NA,NA,NA,NA,29.66,45.8,NA,NA,NA,NA,NA
81.4,58,16.9,0.588,45.8,14190,11.86,129,93.9,NA,NA,NA,NA,22.56,39.9,NA,NA,NA,NA,NA
80.23,56,17.4,0.778,25.9,15017,13.28,115,94.6,NA,NA,NA,NA,19.7,41.1,NA,NA,NA,NA,NA
80.92,51,17.4,0.641,32.1,16778,12.38,106,92.5,NA,NA,NA,NA,22.95,47,NA,NA,NA,NA,NA
81.36,50,16.2,0.426,41,17849,11.19,114,81.1,NA,NA,NA,NA,24.07,42.6,NA,NA,NA,NA,NA
79.94,62,17.3,0.33,52.9,17629,15,123,26.3,NA,NA,NA,NA,26.07,41.2,NA,NA,NA,NA,NA
80.17,54,15.7,0.273,59.3,14759,11.12,149,69.2,NA,NA,NA,NA,31.29,46.8,NA,NA,NA,NA,NA
80.79,50,15.6,0.26,79.3,16640,11.98,149,46.7,NA,NA,NA,NA,32.48,48,NA,NA,NA,NA,NA
81.03,57,16.3,0.527,53.6,16645,11.19,104,66.2,NA,NA,NA,NA,26.83,43.4,NA,NA,NA,NA,NA
81.08,52,16.8,0.615,46.1,17106,11.91,116,73.4,NA,NA,NA,NA,25.24,44.3,NA,NA,NA,NA,NA
80.51,69,16,0.453,55.5,16659,14.55,228,64.6,NA,NA,NA,NA,24.5,40.7,NA,NA,NA,NA,NA
80.32,98,17.1,0.334,55.8,14739,12.9,168,18.1,NA,NA,NA,NA,26.64,39.8,NA,NA,NA,NA,NA
80.85,61,17,0.487,58.5,18215,12.12,121,44.3,NA,NA,NA,NA,27.02,42,NA,NA,NA,NA,NA
80.16,69,17.1,0.434,51.9,12627,13.77,152,52.7,NA,NA,NA,NA,25.13,39.7,NA,NA,NA,NA,NA
80.26,125,17.4,0.268,73.9,12597,16.49,282,38.5,NA,NA,NA,NA,24.23,39.5,NA,NA,NA,NA,NA
80.66,68,17.7,0.643,35.8,11804,11.84,148,80.9,NA,NA,NA,NA,21.99,41.1,NA,NA,NA,NA,NA
80.65,62,17.4,0.348,60.2,13004,10.41,157,59.1,NA,NA,NA,NA,32.01,45.9,NA,NA,NA,NA,NA
80.38,81,17.7,0.336,56.2,10173,13.18,170,61.4,NA,NA,NA,NA,26.34,43.7,NA,NA,NA,NA,NA
81.22,80,17.5,0.407,56.5,11865,11.88,161,68.1,22,403859,611104,19.5,28.29,42.5,54.3,45.9,4.9,14.9,5.7
81.08,74,17.1,0.383,58.7,11336,12.94,114,53,NA,NA,NA,NA,26.01,43.2,NA,NA,NA,NA,NA
80.34,61,17.8,0.343,62.3,10136,13.55,152,58.4,NA,NA,NA,NA,27.85,40.8,NA,NA,NA,NA,NA
80.02,89,19,0.343,58.3,9477,15.33,205,41.2,NA,NA,NA,NA,25.06,40.9,NA,NA,NA,NA,NA
80.27,51,23.5,0.348,53,5747,9.25,130,73.6,18,67985,107902,12.8,22.42,28.1,43.5,28.7,6.2,8.8,2.4
